alerte_id,timestamp,machine_id,machine_nom,atelier,usine,type_alerte,pattern_detecte,niveau_severite,score_ml,valeur_actuelle,seuil_config,unite,capteur_id,statut_resolue,resolue_par,date_resolution,delai_resolution_min,commentaire,action_recommandee,impact_production_eur
ALT-00087,2026-04-04 13:30:02,M-019,Moteur 400kW,Broyage,Casablanca,thermique,Température > 85°C,alerte,0.650871,94.8,80,°C,M-019-SEN-02,non,,,,Confirmé par analyse vibratoire Cat III,Contrôler circuit refroidissement — vérifier charge machine — inspection visuelle,2589.57
ALT-00088,2026-04-04 20:53:02,P-204,Pompe HP,Pomperie,Casablanca,thermique,Surchauffe palier,critique,0.879505,78.6,80,°C,P-204-SEN-02,oui,T-002 Fatima Z.,2026-04-04 21:23:02,30,Analyse ML confirmée par inspection visuelle,Contrôler circuit refroidissement — vérifier charge machine — inspection visuelle,10994.4
ALT-00089,2026-04-05 16:55:27,C-118,Compresseur,Air comprimé,Tanger,vibratoire,Crest factor anormal,critique,0.8808769999999999,7.37,4.5,mm/s,C-118-SEN-01,oui,T-005 Hicham R.,2026-04-05 17:55:27,60,Faux positif probable — vérification en cours,Analyser spectre FFT — vérifier BPFO/BPFI — planifier inspection roulement,4936.68
ALT-00090,2026-04-05 05:54:20,M-019,Moteur 400kW,Broyage,Casablanca,vibratoire,FFT: pic anormal,alerte,0.686298,7.85,4.5,mm/s,M-019-SEN-01,oui,T-002 Fatima Z.,2026-04-05 06:09:20,15,Alerte générée automatiquement par le système de surveillance,Analyser spectre FFT — vérifier BPFO/BPFI — planifier inspection roulement,1993.62
ALT-00091,2026-04-05 03:25:03,P-311,Pompe BP,Pomperie,Casablanca,seuil,Dépassement ISO C,critique,0.848243,6.91,7.1,mm/s,P-311-SEN-01,oui,T-001 Ahmed B.,2026-04-05 03:40:03,15,Analyse ML confirmée par inspection visuelle,ARRÊT D'URGENCE recommandé — zone ISO D — diagnostic immédiat requis,3563.13
ALT-00092,2026-04-05 07:24:55,V-302,Ventilateur,Ventilation,Casablanca,vibratoire,V_RMS > seuil,info,0.648029,4.49,4.5,mm/s,V-302-SEN-01,oui,T-004 Samira K.,2026-04-05 07:54:55,30,,Analyser spectre FFT — vérifier BPFO/BPFI — planifier inspection roulement,0
ALT-00093,2026-04-05 13:37:56,P-204,Pompe HP,Pomperie,Casablanca,batterie,Déconnexion > 24h,critique,0.8871,11,15,%,P-204-SEN-04,oui,Système Auto,2026-04-05 14:37:56,60,Seuil dynamique adaptatif activé,Remplacement batterie capteur sous 48h,5596.16
ALT-00094,2026-04-06 07:51:13,M-019,Moteur 400kW,Broyage,Casablanca,vibratoire,Kurtosis excessif,critique,0.858827,7.44,4.5,mm/s,M-019-SEN-01,oui,T-005 Hicham R.,2026-04-06 08:21:13,30,Alerte générée automatiquement par le système de surveillance,Analyser spectre FFT — vérifier BPFO/BPFI — planifier inspection roulement,12823.48
ALT-00095,2026-04-08 18:21:35,R-077,Réducteur,Convoyage,Tanger,batterie,Capteur hors tension,alerte,0.741521,4,15,%,R-077-SEN-04,oui,T-003 Youssef M.,2026-04-08 18:51:35,30,,Remplacement batterie capteur sous 48h,1209.05
ALT-00096,2026-04-08 00:51:06,P-311,Pompe BP,Pomperie,Casablanca,batterie,Déconnexion > 24h,alerte,0.794196,11,15,%,P-311-SEN-03,oui,T-005 Hicham R.,2026-04-08 01:21:06,30,Seuil dynamique adaptatif activé,Remplacement batterie capteur sous 48h,2766.49
ALT-00097,2026-04-09 13:23:34,R-077,Réducteur,Convoyage,Tanger,batterie,Capteur hors tension,alerte,0.684485,12,15,%,R-077-SEN-01,oui,T-004 Samira K.,2026-04-09 13:38:34,15,Confirmé par analyse vibratoire Cat III,Remplacement batterie capteur sous 48h,1730.09
ALT-00098,2026-04-09 05:12:59,M-019,Moteur 400kW,Broyage,Casablanca,anomalie_ml,DBSCAN outlier,critique,0.961727,0.96,0.8,score,M-019-SEN-ALL,oui,T-006 Karim E.,2026-04-09 07:12:59,120,,Vérifier données entrée — analyser résidu modèle — inspection ciblée,10818.59
ALT-00099,2026-04-09 17:15:55,R-077,Réducteur,Convoyage,Tanger,vibratoire,FFT: pic anormal,alerte,0.797675,4.31,4.5,mm/s,R-077-SEN-01,oui,T-005 Hicham R.,2026-04-09 17:30:55,15,Dérive lente détectée — tendance à surveiller,Analyser spectre FFT — vérifier BPFO/BPFI — planifier inspection roulement,2760.74
ALT-00100,2026-04-09 02:31:03,C-118,Compresseur,Air comprimé,Tanger,thermique,Température > 85°C,critique,0.921743,84.6,80,°C,C-118-SEN-02,oui,T-001 Ahmed B.,2026-04-09 03:01:03,30,,Contrôler circuit refroidissement — vérifier charge machine — inspection visuelle,12275.73
ALT-00101,2026-04-10 02:10:04,C-118,Compresseur,Air comprimé,Tanger,thermique,Température > 85°C,info,0.601577,95.8,80,°C,C-118-SEN-02,non,,,,Dérive lente détectée — tendance à surveiller,Contrôler circuit refroidissement — vérifier charge machine — inspection visuelle,0
ALT-00102,2026-04-24 09:36:51,M-019,Moteur 400kW,Broyage,Casablanca,batterie,Batterie < 15%,critique,0.830113,14,15,%,M-019-SEN-04,oui,T-001 Ahmed B.,2026-04-24 10:36:51,60,Analyse ML confirmée par inspection visuelle,Remplacement batterie capteur sous 48h,12726.81
ALT-00103,2026-04-26 04:15:45,R-077,Réducteur,Convoyage,Tanger,anomalie_ml,DBSCAN outlier,info,0.553851,0.55,0.8,score,R-077-SEN-ALL,oui,T-006 Karim E.,2026-04-26 04:30:45,15,Seuil dynamique adaptatif activé,Vérifier données entrée — analyser résidu modèle — inspection ciblée,0
ALT-00104,2026-04-26 12:31:05,V-302,Ventilateur,Ventilation,Casablanca,seuil,Déplacement > 150µm,alerte,0.701145,6.46,7.1,mm/s,V-302-SEN-01,oui,T-005 Hicham R.,2026-04-26 12:46:05,15,Alerte générée automatiquement par le système de surveillance,ARRÊT D'URGENCE recommandé — zone ISO D — diagnostic immédiat requis,1392.67
ALT-00105,2026-04-26 00:01:46,R-077,Réducteur,Convoyage,Tanger,anomalie_ml,DBSCAN outlier,critique,0.88612,0.89,0.8,score,R-077-SEN-ALL,oui,T-006 Karim E.,2026-04-26 08:01:46,480,Alerte générée automatiquement par le système de surveillance,Vérifier données entrée — analyser résidu modèle — inspection ciblée,10382.43
ALT-00106,2026-04-26 06:17:57,V-302,Ventilateur,Ventilation,Casablanca,anomalie_ml,Pattern anomalie détecté,critique,0.896263,0.9,0.8,score,V-302-SEN-ALL,non,,,,Analyse ML confirmée par inspection visuelle,Vérifier données entrée — analyser résidu modèle — inspection ciblée,13945.44
